,I1,C2,data_updated,industry_bin,C3_prime
344,LINC,1.0,0,Services,1
345,LLNW,1.0,0,Services,0
346,LMAT,1.0,0,Manufacturing,0
347,LNKD,1.0,0,Services,1
348,LOCK,1.0,0,Services,0
349,LOGM,1.0,0,Services,0
350,LPI,1.0,0,Mining,1
351,LPR,1.0,0,Mining,1
352,LQDT,1.0,0,Services,1
353,LTM,1.0,0,Services,1
354,LULU,1.0,0,Retail Trade,1
355,LUNA,0.0,0,Services,0
356,LVS,1.0,0,Services,1
358,MA,1.0,0,Services,1
359,MACK,1.0,0,Manufacturing,0
360,MAKO,1.0,0,Manufacturing,0
361,MANU,1.0,0,Services,1
362,MAPP,1.0,1,Manufacturing,0
363,MASI,1.0,0,Manufacturing,1
364,MATH,0.0,0,Manufacturing,0
365,MBLX,1.0,0,Services,0
366,MBRX,1.0,0,Manufacturing,0
367,MCP,1.0,0,Manufacturing,0
368,MDAS,1.0,0,Services,1
369,MDMD,1.0,0,Services,1
370,MDSO,1.0,0,Services,1
371,MEDE,1.0,0,Services,1
372,MEDH,1.0,0,Services,1
373,MELA,0.0,1,Manufacturing,0
374,MEMS,1.0,0,Manufacturing,1
375,MEND,0.0,0,Manufacturing,0
376,MFLX,0.0,0,Manufacturing,1
377,MG,1.0,0,Services,1
378,MHGC,1.0,0,Services,0
379,MIPI,0.0,0,Manufacturing,0
380,MJN,1.0,0,Manufacturing,1
381,MKTG,1.0,0,Services,1
382,MLNX,1.0,0,Manufacturing,1
383,MM,1.0,0,Services,0
384,MNKD,1.0,1,Manufacturing,0
385,MNTA,1.0,0,Manufacturing,0
386,MOH,1.0,0,"Finance, Insurance and Real Estate",1
387,MOTR,1.0,0,Manufacturing,0
388,MOTV,1.0,0,Services,1
389,MPO,1.0,0,Mining,1
390,MPWR,1.0,0,Manufacturing,0
391,MRC,1.0,0,Wholesale Trade,1
392,MRIN,1.0,0,Services,0
393,MRT,0.0,0,Retail Trade,1
394,MTDR,1.0,0,Mining,0
395,MTSI,1.0,0,Manufacturing,0
396,MUSA,1.0,0,Wholesale Trade,1
397,MXL,1.0,0,Manufacturing,1
398,MYOG,1.0,0,Manufacturing,0
399,N,1.0,0,Services,0
402,NCIT,0.0,0,Services,1
403,NCMI,1.0,0,Services,0
404,NETL,1.0,0,Manufacturing,0
405,NEXT,1.0,0,Manufacturing,0
406,NGSX,1.0,1,Manufacturing,0
407,NGVC,0.0,0,Retail Trade,1
408,NHWK,1.0,0,Services,0
409,NILE,1.0,0,Retail Trade,1
411,NLC,1.0,0,Manufacturing,0
412,NLSN,1.0,1,Services,0
413,NOR,1.0,0,Manufacturing,1
414,NOW,1.0,0,Services,1
415,NPTN,1.0,0,Manufacturing,1
417,NSE,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",0
418,NSPH,1.0,0,Manufacturing,0
419,NSR,1.0,0,Services,1
420,NSTC,1.0,0,Services,1
421,NSTR,1.0,1,Manufacturing,0
